year,rank,region,state,airport_code,airport_name,service_level,hub_type,boardings,previous_year_boardings,yoy_change
2007,18,NM,WA,SEA,Seattle-Tacoma International,P,L,15419116,14703928,0.0486
2008,3,WP,CA,LAX,Los Angeles International,P,L,28861477,30113985,-0.0416
2008,10,WP,CA,SFO,San Francisco International,P,L,18135827,17280328,0.0495
2008,5,NM,CO,DEN,Denver International,P,L,24287939,24117623,0.0071
2008,1,SO,GA,ATL,Hartsfield - Jackson Atlanta International,P,L,43761280,43236665,0.0121
2008,2,GL,IL,ORD,Chicago O'Hare International,P,L,33683991,36521585,-0.0777
2008,7,WP,NV,LAS,McCarran International,P,L,21024443,22537950,-0.0672
2008,4,SW,TX,DFW,Dallas/Fort Worth International,P,L,27219285,28482417,-0.0443
2008,17,NM,WA,SEA,Seattle-Tacoma International,P,L,15839504,15419116,0.0273
2009,3,WP,CA,LAX,Los Angeles International,P,L,27439897,28861477,-0.0493
2009,10,WP,CA,SFO,San Francisco International,P,L,18467908,18135827,0.0183
2009,5,NM,CO,DEN,Denver International,P,L,24013669,24287939,-0.0113
2009,1,SO,GA,ATL,Hartsfield - Jackson Atlanta International,P,L,42280868,43761280,-0.0338
2009,2,GL,IL,ORD,Chicago O'Hare International,P,L,31135732,33683991,-0.0757
2009,7,WP,NV,LAS,McCarran International,P,L,19445952,21024443,-0.0751
2009,4,SW,TX,DFW,Dallas/Fort Worth International,P,L,26663984,27219285,-0.0204
2009,16,NM,WA,SEA,Seattle-Tacoma International,P,L,15273092,15839504,-0.0358
2010,2,GL,IL,ORD,Chicago O'Hare International,P,L,32171831,31135732,0.0333
2010,5,NM,CO,DEN,Denver International,P,L,25241962,24013669,0.0511
2010,17,NM,WA,SEA,Seattle-Tacoma International,P,L,15406243,15273092,0.0087
2010,1,SO,GA,ATL,Hartsfield - Jackson Atlanta International,P,L,43130585,42280868,0.0201
2010,4,SW,TX,DFW,Dallas/Fort Worth International,P,L,27100656,26663984,0.0164
2010,3,WP,CA,LAX,Los Angeles International,P,L,28857755,27439897,0.0517
2010,8,WP,CA,SFO,San Francisco International,P,L,19359003,18467908,0.0483
2010,9,WP,NV,LAS,McCarran International,P,L,18996738,19445952,-0.0231
2011,3,WP,CA,LAX,Los Angeles International,P,L,30528737,28857755,0.0579
2011,7,WP,CA,SFO,San Francisco International,P,L,20056568,19359003,0.036
2011,5,NM,CO,DEN,Denver International,P,L,25667499,25241962,0.0169
2011,1,SO,GA,ATL,Hartsfield - Jackson Atlanta International,P,L,44414121,43130585,0.0298
2011,2,GL,IL,ORD,Chicago O'Hare International,P,L,31892301,32171831,-0.0087
2011,8,WP,NV,LAS,McCarran International,P,L,19872617,18996738,0.0461
2011,4,SW,TX,DFW,Dallas/Fort Worth International,P,L,27518358,27100656,0.0154
2011,15,NM,WA,SEA,Seattle-Tacoma International,P,L,15971676,15406243,0.0367
