"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races"
"0200000US1","Northeast Region","55982803","*****","40358050","49442","6814835","30666","163430","10337","3726564","16519","21403","3221","3151851","46740","1746670","31737","327571","15902","1419099","32938"
"0200000US2","Midwest Region","68329004","*****","54831529","39863","7154166","31524","441292","10382","2303668","13528","43501","5573","1606836","39155","1948012","39841","197320","11262","1750692","35855"
"0200000US3","South Region","125580448","*****","87888952","65319","24311893","55004","874300","18886","4426872","22904","101450","9463","4320460","65450","3656521","66483","474942","20459","3181579","56846"
"0200000US4","West Region","78347268","*****","53396870","81272","3708777","26046","1368314","22230","8179880","24779","462329","12216","7273406","90267","3957692","44519","666342","22397","3291350","39676"
