STOP_ID_ANONY,STOP_FRISK_DATE,STOP_FRISK_TIME,YEAR2,MONTH2,DAY2,STOP_WAS_INITIATED,RECORD_STATUS_CODE,ISSUING_OFFICER_RANK,ISSUING_OFFICER_COMMAND_CODE,SUPERVISING_OFFICER_RANK,SUPERVISING_OFFICER_COMMAND_CODE,LOCATION_IN_OUT_CODE,JURISDICTION_CODE,JURISDICTION_DESCRIPTION,OBSERVED_DURATION_MINUTES,SUSPECTED_CRIME_DESCRIPTION,STOP_DURATION_MINUTES,OFFICER_EXPLAINED_STOP_FLAG,OFFICER_NOT_EXPLAINED_STOP_DESCRIPTION,OTHER_PERSON_STOPPED_FLAG,SUSPECT_ARRESTED_FLAG,SUSPECT_ARREST_OFFENSE,SUMMONS_ISSUED_FLAG,SUMMONS_OFFENSE_DESCRIPTION,OFFICER_IN_UNIFORM_FLAG,ID_CARD_IDENTIFIES_OFFICER_FLAG,SHIELD_IDENTIFIES_OFFICER_FLAG,VERBAL_IDENTIFIES_OFFICER_FLAG,FRISKED_FLAG,SEARCHED_FLAG,ASK_FOR_CONSENT_FLG,CONSENT_GIVEN_FLG,OTHER_CONTRABAND_FLAG,FIREARM_FLAG,KNIFE_CUTTER_FLAG,OTHER_WEAPON_FLAG,WEAPON_FOUND_FLAG,PHYSICAL_FORCE_CEW_FLAG,PHYSICAL_FORCE_DRAW_POINT_FIREARM_FLAG,PHYSICAL_FORCE_HANDCUFF_SUSPECT_FLAG,PHYSICAL_FORCE_OC_SPRAY_USED_FLAG,PHYSICAL_FORCE_OTHER_FLAG,PHYSICAL_FORCE_RESTRAINT_USED_FLAG,PHYSICAL_FORCE_VERBAL_INSTRUCTION_FLAG,PHYSICAL_FORCE_WEAPON_IMPACT_FLAG,BACKROUND_CIRCUMSTANCES_VIOLENT_CRIME_FLAG,BACKROUND_CIRCUMSTANCES_SUSPECT_KNOWN_TO_CARRY_WEAPON_FLAG,SUSPECTS_ACTIONS_CASING_FLAG,SUSPECTS_ACTIONS_CONCEALED_POSSESSION_WEAPON_FLAG,SUSPECTS_ACTIONS_DECRIPTION_FLAG,SUSPECTS_ACTIONS_DRUG_TRANSACTIONS_FLAG,SUSPECTS_ACTIONS_IDENTIFY_CRIME_PATTERN_FLAG,SUSPECTS_ACTIONS_LOOKOUT_FLAG,SUSPECTS_ACTIONS_OTHER_FLAG,SUSPECTS_ACTIONS_PROXIMITY_TO_SCENE_FLAG,SEARCH_BASIS_ADMISSION_FLAG,SEARCH_BASIS_CONSENT_FLAG,SEARCH_BASIS_HARD_OBJECT_FLAG,SEARCH_BASIS_INCIDENTAL_TO_ARREST_FLAG,SEARCH_BASIS_OTHER_FLAG,SEARCH_BASIS_OUTLINE_FLAG,DEMEANOR_CODE,DEMEANOR_OF_PERSON_STOPPED,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,SUSPECT_EYE_COLOR,SUSPECT_HAIR_COLOR,SUSPECT_OTHER_DESCRIPTION,STOP_LOCATION_PRECINCT,STOP_LOCATION_SECTOR_CODE,STOP_LOCATION_APARTMENT,STOP_LOCATION_FULL_ADDRESS,STOP_LOCATION_STREET_NAME,STOP_LOCATION_X,STOP_LOCATION_Y,STOP_LOCATION_ZIP_CODE,STOP_LOCATION_PATROL_BORO_NAME,STOP_LOCATION_BORO_NAME
3352,1/21/19,9:19:00,2019,January,Monday,Based on Self Initiated,APP,POM,33,SGT,33,O,(null),(null),8,CPW,10,Y,(null),Y,N,(null),N,(null),Y,(null),(null),(null),Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),DE,AGITATED,(null),MALE,WHITE HISPANIC,5.8,200,HEA,BRO,BLK,(null),33,C,(null),WEST 178 STREET && AMSTERDAM AVENUE,WEST 178 STREET,1002974,247561,(null),PBMN,MANHATTAN
3353,1/23/19,22:25:00,2019,January,Wednesday,Based on Radio Run,APP,POM,33,SGT,33,O,P,PSB,5,CPW,5,Y,(null),N,Y,CRIMINAL POSSESSION OF CONTROLLE,N,(null),Y,(null),(null),(null),Y,Y,Y,Y,Y,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),DE,CALM,(null),MALE,WHITE HISPANIC,5.8,180,MED,BLK,BLK,(null),33,C,(null),565 WEST 171 STREET,WEST 171 STREET,1001512,246255,(null),PBMN,MANHATTAN
3354,1/24/19,4:45:00,2019,January,Thursday,Based on Self Initiated,APP,POF,33,SGT,33,O,(null),(null),2,BURGLARY,10,Y,(null),Y,N,(null),N,(null),N,(null),S,(null),Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),DE,"NERVOUS, ANNOYED, RAMBLING",22,MALE,WHITE HISPANIC,5.9,180,MED,BRO,BRO,UNK,33,C,(null),205 AUDUBON AVENUE,AUDUBON AVENUE,1002245,247188,(null),PBMN,MANHATTAN
3355,1/24/19,4:45:00,2019,January,Thursday,Based on Self Initiated,APP,POM,33,SGT,33,O,(null),(null),2,BURGLARY,10,Y,(null),Y,N,(null),N,(null),N,(null),S,(null),Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),Y,(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),DE,AGITATED,(null),MALE,WHITE HISPANIC,5.1,190,MED,BRO,BLK,N/A,33,C,(null),205 AUDUBON AVENUE,AUDUBON AVENUE,1002245,247188,(null),PBMN,MANHATTAN
3356,1/26/19,23:57:00,2019,January,Saturday,Based on C/W on Scene,APP,POM,33,LT,33,(null),P,PSB,1,CPW,5,Y,(null),N,N,(null),N,(null),Y,(null),(null),(null),Y,N,N,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),Y,(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),DE,INTOXICATED,32,MALE,WHITE HISPANIC,5.6,140,MED,BRO,BRO,(null),33,A,(null),BROADWAY && WEST 158 STREET,BROADWAY,999629,243379,(null),PBMN,MANHATTAN
3357,1/27/19,14:35:00,2019,January,Sunday,Based on Radio Run,APP,POM,33,SGT,33,O,P,PSB,1,BURGLARY,10,Y,(null),N,Y,BURGLARY,N,(null),Y,(null),(null),(null),Y,Y,Y,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),Y,Y,(null),(null),(null),Y,(null),(null),DE,NORMAL,48,MALE,BLACK,5.11,185,MED,BRO,BLD,"ARMY FATIGUE JACKET, BLUE PANTS",33,B,(null),HENRY HUDSON PARKWAY && WEST 158 STREET,HENRY HUDSON PARKWAY,998297,243964,(null),PBMN,MANHATTAN
3358,2/3/19,15:08:00,2019,February,Sunday,Based on C/W on Scene,APP,POF,33,LT,33,O,P,PSB,1,CPW,2,Y,(null),Y,N,(null),N,(null),Y,(null),(null),(null),Y,Y,Y,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),DE,CALM,31,MALE,BLACK,5.1,160,THN,BRO,BLK,UNKNOWN,33,B,(null),600 WEST 157 STREET,WEST 157 STREET,999302,243266,(null),PBMN,MANHATTAN
3359,2/3/19,15:04:00,2019,February,Sunday,Based on C/W on Scene,APP,POM,33,LT,33,O,(null),(null),2,CPW,1,Y,(null),Y,N,(null),N,(null),Y,(null),(null),(null),Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),DE,UPSET,(null),MALE,BLACK,5.9,160,THN,BRO,XXX,UNK,33,B,(null),600 WEST 157 STREET,WEST 157 STREET,999302,243266,(null),PBMN,MANHATTAN
3360,2/5/19,2:05:00,2019,February,Tuesday,Based on Radio Run,APP,POM,33,SGT,33,(null),P,PSB,1,BURGLARY,5,Y,(null),Y,N,(null),N,(null),Y,(null),(null),(null),Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),DE,CALM,32,MALE,WHITE HISPANIC,5.8,150,THN,BLK,BLK,(null),33,C,31,667 WEST 177 STREET,WEST 177 STREET,1001574,248042,(null),PBMN,MANHATTAN
3361,2/5/19,2:05:00,2019,February,Tuesday,Based on Radio Run,APP,POM,33,SGT,33,(null),(null),(null),1,BURGLARY,5,Y,(null),Y,N,(null),N,(null),Y,(null),(null),(null),N,N,(,(,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),#N/A,#N/A,(null),(null),(null), , ,(null),(null),(null),(null),33,C,31,667 WEST 177 STREET,WEST 177 STREET,1001574,248042,(null),PBMN,MANHATTAN
3362,2/8/19,7:00:00,2019,February,Friday,Based on Radio Run,APP,POM,30,SGT,30,O,P,PSB,1,AUTO STRIPPIG,25,Y,(null),N,N,(null),N,(null),Y,(null),(null),(null),Y,Y,Y,Y,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),Y,(null),(null),(null),(null),DE,COOPERATIVE,62,MALE,BLACK,6,175,THN,BRO,BLK,(null),33,B,(null),BROADWAY && WEST 156 STREET,BROADWAY,999377,242926,(null),PBMN,MANHATTAN
3363,1/29/19,10:55:00,2019,January,Tuesday,Based on Self Initiated,APP,POM,33,LT,33,I,H,Housing,1,CRIMINAL TRESPASS,5,Y,(null),N,Y,CRIMINAL TRESPASS,N,(null),Y,(null),(null),(null),Y,Y,N,N,Y,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),DE,APPARENTLY NORMAL,33,MALE,WHITE HISPANIC,6,180,MED,BRO,BLK,N/A,33,C,(null),506 WEST 177 STREET,WEST 177 STREET,1002748,247390,(null),PBMN,MANHATTAN
3364,2/4/19,15:24:00,2019,February,Monday,Based on Radio Run,APP,POF,33,LT,33,O,P,PSB,1,CPW,6,Y,(null),N,N,(null),N,(null),Y,(null),(null),(null),Y,Y,Y,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),DE,COOPERATIVE AND NERVOUS,33,FEMALE,BLACK,5.5,130,THN,BRO,BLK,"BLUE JACKET, POCKET BOOK",33,A,(null),WEST 157 STREET && AMSTERDAM AVENUE,WEST 157 STREET,1000291,242718,(null),PBMN,MANHATTAN
3365,2/15/19,2:47:00,2019,February,Friday,Based on Radio Run,APP,POM,33,SGT,33,O,(null),(null),1,ASSAULT,25,Y,(null),N,N,(null),N,(null),Y,(null),(null),(null),N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),DE,CALM,23,MALE,BLACK,6,180,MED,BRO,BLK,GRAY GLOVES,33,A,(null),501 WEST 156 STREET,WEST 156 STREET,1000046,242558,(null),PBMN,MANHATTAN
3366,2/17/19,20:00:00,2019,February,Sunday,Based on C/W on Scene,APP,POF,30,SGT,30,(null),P,PSB,1,ROBBERY,9,Y,(null),Y,N,(null),N,(null),Y,(null),(null),(null),Y,N,N,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),Y,(null),(null),(null),(null),(null),(null),(null),Y,Y,(null),(null),(null),(null),(null),(null),DE,CALM,15,MALE,BLACK,5.8,140,THN,BRO,BLK,(null),33,A,(null),WEST 158 STREET && AMSTERDAM AVENUE,WEST 158 STREET,1000417,242945,(null),PBMN,MANHATTAN
3367,2/19/19,4:00:00,2019,February,Tuesday,Based on Radio Run,APP,POM,33,POM,33,O,P,PSB,0,BURGLARY,0,Y,(null),N,N,(null),N,(null),Y,(null),(null),(null),N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),DE,NERVOUS,16,FEMALE,WHITE HISPANIC,5.2,115,MED,BRO,BLK,(null),33,A,(null),545 WEST 162 STREET,WEST 162 STREET,1000527,244078,(null),PBMN,MANHATTAN
3368,2/22/19,0:00:00,2019,February,Friday,Based on Self Initiated,APP,POM,33,SGT,33,I,P,PSB,1,CRIMINAL POSSESSION OF MARIHUANA,30,Y,(null),N,N,(null),N,(null),Y,(null),(null),(null),N,N,(,(,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),DE,CASUAL,25,MALE,WHITE HISPANIC,6.2,180,THN,BRO,BLK,(null),33,A,(null),520 WEST 163 STREET,WEST 163 STREET,1000710,244265,(null),PBMN,MANHATTAN
3369,2/17/19,20:05:00,2019,February,Sunday,Based on C/W on Scene,APP,POM,30,SGT,30,O,(null),(null),5,ROBBERY,10,Y,(null),N,N,(null),N,(null),Y,(null),(null),(null),Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),(,(null),Y,(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),DE,VIOLENT,15,MALE,BLACK,5.1,140,THN,BLK,XXX,(null),33,A,(null),AMSTERDAM AVENUE && WEST 158 STREET,AMSTERDAM AVENUE,1000417,242945,(null),PBMN,MANHATTAN
3370,2/27/19,20:50:00,2019,February,Wednesday,Based on Radio Run,APP,POM,33,SGT,33,(null),(null),(null),0,ROBBERY,2,Y,(null),N,N,(null),N,(null),Y,(null),(null),(null),N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),DE,CALM,(null),MALE,BLACK,5.9, ,(null),(null),BLK,(null),33,A,(null),EDGECOMBE AVENUE && WEST 162 STREET,EDGECOMBE AVENUE,1001475,243456,(null),PBMN,MANHATTAN
3371,2/26/19,23:20:00,2019,February,Tuesday,Based on Self Initiated,APP,POM,33,SGT,33,O,P,PSB,3,BURGLARY,8,Y,(null),Y,Y,BURGLARY,N,(null),N,(null),(null),V,Y,N,Y,Y,N,(null),Y,(null),Y,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),DE,NERVOUS,51,FEMALE,WHITE HISPANIC,5.7,140,THN,BRO,BLK,(null),33,A,(null),961 SAINT NICHOLAS AVENUE,SAINT NICHOLAS AVENUE,1000682,242842,(null),PBMN,MANHATTAN
3372,3/1/19,13:55:00,2019,March,Friday,Based on Radio Run,APP,POF,33,SGT,33,O,P,PSB,1,CRIMINAL MISCHIEF,8,Y,(null),N,N,(null),N,(null),N,(null),S,(null),Y,Y,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),Y,(null),(null),DE,COMPLIANT,26,MALE,BLACK,6.1,140,THN,BRO,BLK,(null),33,D,(null),BROADWAY && WEST 168 STREET,BROADWAY,1000916,245710,(null),PBMN,MANHATTAN
3373,3/4/19,20:50:00,2019,March,Monday,Based on Self Initiated,APP,POM,33,SGT,33,(null),P,PSB,2,CPSP,5,Y,(null),N,N,(null),N,(null),Y,(null),(null),(null),N,N,Y,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),DE,CONFUSED,43,MALE,BLACK HISPANIC,5.11,200,MED,BRO,BLD,(null),33,B,(null),RIVERSIDE DRIVE && WEST 161 STREET,RIVERSIDE DRIVE,999015,244609,(null),PBMN,MANHATTAN
3374,3/5/19,5:06:00,2019,March,Tuesday,Based on Radio Run,APP,POM,33,SGT,33,O,(null),(null),0,BURGLARY,10,Y,(null),N,N,(null),N,(null),Y,(null),(null),(null),N,N,(,(,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),#N/A,#N/A,61,MALE,BLACK HISPANIC, ,190,THN,BRO,BLK,(null),33,C,(null),2304 AMSTERDAM AVENUE,AMSTERDAM AVENUE,1002498,246707,(null),PBMN,MANHATTAN
3375,3/6/19,9:30:00,2019,March,Wednesday,Based on Self Initiated,APP,POM,33,SGT,33,(null),P,PSB,3,BURGLARY,20,Y,(null),N,N,(null),N,(null),N,(null),S,(null),N,N,Y,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),DE,CALM,54,MALE,BLACK,6.1,180,THN,BRO,BLK,(null),33,A,(null),SAINT NICHOLAS AVENUE && WEST 162 STREET,SAINT NICHOLAS AVENUE,1000867,243889,(null),PBMN,MANHATTAN
3376,3/8/19,22:29:00,2019,March,Friday,Based on Radio Run,APP,POM,33,SGT,33,O,P,PSB,1,ASSAULT,2,Y,(null),N,N,(null),N,(null),N,(null),S,V,Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),Y,(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),DE,ANXIOUS TO LEAVE,25,MALE,BLACK,6,180,THN,BRO,BLK,(null),33,A,(null),AMSTERDAM AVENUE && WEST 158 STREET,AMSTERDAM AVENUE,1000417,242945,(null),PBMN,MANHATTAN
3377,3/9/19,5:06:00,2019,March,Saturday,Based on Radio Run,APP,POM,33,SGT,33,(null),(null),(null),2,ASSAULT,5,Y,(null),Y,N,(null),N,(null),Y,(null),(null),(null),N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),DE,DISORDERLY,28,MALE,WHITE HISPANIC,5.8,160,THN,BRO,BLD,NONE,33,C,(null),202 AUDUBON AVENUE,AUDUBON AVENUE,1002214,247144,(null),PBMN,MANHATTAN
3378,3/9/19,5:05:00,2019,March,Saturday,Based on Radio Run,APP,POM,33,SGT,33,O,(null),(null),2,ASSAULT,5,Y,(null),Y,N,(null),N,(null),Y,(null),(null),(null),N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),DE,DISORDERLY,26,FEMALE,WHITE HISPANIC,5.1,145,HEA,BRO,BLK,NONE,33,C,(null),202 AUDUBON AVENUE,AUDUBON AVENUE,1002214,247144,(null),PBMN,MANHATTAN
3379,3/8/19,20:19:00,2019,March,Friday,Based on Radio Run,APP,POM,33,SGT,33,(null),(null),(null),1,GRAND LARCENY,3,Y,(null),N,Y,GRAND LARCENY,N,(null),Y,(null),(null),(null),N,Y,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),Y,(null),(null),DE,RESTLESS,(null),FEMALE,WHITE HISPANIC, , ,THN,BRO,BLK,(null),33,A,(null),WEST 157 STREET && AMSTERDAM AVENUE,WEST 157 STREET,1000291,242718,(null),PBMN,MANHATTAN
3380,3/9/19,14:58:00,2019,March,Saturday,Based on Self Initiated,APP,POM,33,SGT,33,(null),P,PSB,5,AUTO STRIPPIG,5,Y,(null),N,N,(null),N,(null),N,(null),S,V,N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),DE,CALM,41,MALE,BLACK,6.1,220,MED,BLK,BLK,"BLACK JACKET, GREY HOODIE",33,A,(null),EDGECOMBE AVENUE && WEST 157 STREET,EDGECOMBE AVENUE,1000833,242427,(null),PBMN,MANHATTAN
3381,3/12/19,7:20:00,2019,March,Tuesday,Based on Radio Run,APP,POM,33,SGT,33,(null),P,PSB,0,BURGLARY,5,Y,(null),Y,N,(null),N,(null),Y,(null),(null),(null),N,N,N,(,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),DE,"UNCOOPERATIVE, AGITATED, ANGRY, LOUD",(null),MALE,BLACK,5.6,160,THN,ZZZ,XXX,(null),33,D,(null),286 FORT WASHINGTON AVENUE,FORT WASHINGTON AVENUE,1000645,247061,(null),PBMN,MANHATTAN
3382,3/15/19,12:48:00,2019,March,Friday,Based on Radio Run,APP,POM,33,SGT,33,O,(null),(null),5,CPW,10,Y,(null),N,N,(null),N,(null),Y,(null),(null),(null),Y,N,Y,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),Y,(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),DE,CALM,27,MALE,WHITE HISPANIC,5.9,160,THN,BRO,BLK,(null),33,C,(null),AUDUBON AVENUE && WEST 176 STREET,AUDUBON AVENUE,1002321,247330,(null),PBMN,MANHATTAN
3383,3/15/19,12:48:00,2019,March,Friday,Based on Radio Run,APP,POM,33,SGT,33,O,(null),(null),5,CPW,10,Y,(null),N,N,(null),N,(null),Y,(null),(null),(null),Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),Y,(null),(null),(null),Y,Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),DE,CALM,(null),MALE,WHITE HISPANIC,5.9,300,HEA,BRO,BLK,(null),33,C,(null),AUDUBON AVENUE && WEST 176 STREET,AUDUBON AVENUE,1002321,247330,(null),PBMN,MANHATTAN
3384,3/19/19,14:55:00,2019,March,Tuesday,Based on C/W on Scene,APP,POM,862,SGT,862,(null),P,PSB,2,GRAND LARCENY,5,Y,(null),N,Y,GRAND LARCENY,N,(null),Y,(null),(null),(null),N,Y,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),DE,CALM,22,MALE,BLACK HISPANIC,6,155,MED,BRO,BLK,BLACK JACKET/SWEATSHIRT,33,A,(null),EDGECOMBE AVENUE && WEST 163 STREET,EDGECOMBE AVENUE,1001577,243748,(null),PBMN,MANHATTAN
3385,3/20/19,10:35:00,2019,March,Wednesday,Based on Radio Run,APP,POF,33,LT,33,O,P,PSB,1,CPW,1,Y,(null),N,N,(null),N,(null),Y,(null),(null),(null),Y,N,Y,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),DE,CALM,46,MALE,WHITE HISPANIC,6.5,280,HEA,BLK,BLD,UNKNOWN,33,A,(null),3806 BROADWAY,BROADWAY,999680,243466,(null),PBMN,MANHATTAN
3386,3/21/19,0:08:00,2019,March,Thursday,Based on Radio Run,APP,POM,33,SGT,33,I,P,PSB,1,CPW,3,Y,(null),N,N,(null),N,(null),Y,(null),(null),(null),Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),DE,NERVOUS,19,MALE,WHITE HISPANIC,5.9,150,THN,BRO,BLK,(null),33,C,(null),501 WEST 171 STREET,WEST 171 STREET,1002019,245978,(null),PBMN,MANHATTAN
3387,3/21/19,23:50:00,2019,March,Thursday,Based on Radio Run,APP,POM,862,SGT,862,S,T,Transit,5,OTHER,10,Y,(null),N,N,(null),N,(null),N,(null),S,V,N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),DE,UPSET,35,MALE,BLACK,6.1,165,THN,BRO,BLK,(null),33,C,(null),SAINT NICHOLAS AVENUE && WEST 168 STREET,SAINT NICHOLAS AVENUE,1000989,245670,(null),PBMN,MANHATTAN
3388,3/26/19,12:20:00,2019,March,Tuesday,Based on Radio Run,APP,POM,33,LT,33,O,P,PSB,2,CPW,1,Y,(null),N,N,(null),N,(null),Y,(null),(null),(null),Y,N,N,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),DE,RESPECTFUL,20,MALE,WHITE HISPANIC,5.6,150,MED,BLK,BLK,(null),33,A,(null),AMSTERDAM AVENUE && WEST 155 STREET,AMSTERDAM AVENUE,1000029,242245,(null),PBMN,MANHATTAN
3389,3/29/19,23:27:00,2019,March,Friday,Based on Radio Run,APP,POM,33,SGT,33,O,P,PSB,0,GRAND LARCENY AUTO,6,Y,(null),Y,N,(null),N,(null),N,(null),S,(null),Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),DE,CALM,23,MALE,WHITE HISPANIC,5.6,150,THN,ZZZ,BRO,(null),33,A,(null),10 JUMEL TERRACE,JUMEL TERRACE,1001172,243393,(null),PBMN,MANHATTAN
3390,3/30/19,21:56:00,2019,March,Saturday,Based on Radio Run,APP,POM,33,SGT,33,O,P,PSB,2,ROBBERY,3,Y,(null),N,N,(null),N,(null),Y,(null),(null),(null),N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),DE,ANGRY,(null),MALE,BLACK, , ,U,BRO,BLK,BEARD,33,A,(null),432 WEST 162 STREET,WEST 162 STREET,1001159,243628,(null),PBMN,MANHATTAN
3391,3/31/19,4:02:00,2019,March,Sunday,Based on Radio Run,APP,POM,33,SGT,33,O,P,PSB,1,ASSAULT,30,Y,(null),Y,N,(null),N,(null),Y,(null),(null),(null),Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),Y,(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),DE,COOPERATIVE,18,MALE,BLACK HISPANIC,6.1,200,HEA,BRO,BLK,TATTOO ON LEFT HAND,33,C,(null),SAINT NICHOLAS AVENUE && WEST 175 STREET,SAINT NICHOLAS AVENUE,1001799,247298,(null),PBMN,MANHATTAN
