STOP_ID_ANONY,STOP_FRISK_DATE,STOP_FRISK_TIME,YEAR2,MONTH2,DAY2,STOP_WAS_INITIATED,RECORD_STATUS_CODE,ISSUING_OFFICER_RANK,ISSUING_OFFICER_COMMAND_CODE,SUPERVISING_OFFICER_RANK,SUPERVISING_OFFICER_COMMAND_CODE,LOCATION_IN_OUT_CODE,JURISDICTION_CODE,JURISDICTION_DESCRIPTION,OBSERVED_DURATION_MINUTES,SUSPECTED_CRIME_DESCRIPTION,STOP_DURATION_MINUTES,OFFICER_EXPLAINED_STOP_FLAG,OFFICER_NOT_EXPLAINED_STOP_DESCRIPTION,OTHER_PERSON_STOPPED_FLAG,SUSPECT_ARRESTED_FLAG,SUSPECT_ARREST_OFFENSE,SUMMONS_ISSUED_FLAG,SUMMONS_OFFENSE_DESCRIPTION,OFFICER_IN_UNIFORM_FLAG,ID_CARD_IDENTIFIES_OFFICER_FLAG,SHIELD_IDENTIFIES_OFFICER_FLAG,VERBAL_IDENTIFIES_OFFICER_FLAG,FRISKED_FLAG,SEARCHED_FLAG,ASK_FOR_CONSENT_FLG,CONSENT_GIVEN_FLG,OTHER_CONTRABAND_FLAG,FIREARM_FLAG,KNIFE_CUTTER_FLAG,OTHER_WEAPON_FLAG,WEAPON_FOUND_FLAG,PHYSICAL_FORCE_CEW_FLAG,PHYSICAL_FORCE_DRAW_POINT_FIREARM_FLAG,PHYSICAL_FORCE_HANDCUFF_SUSPECT_FLAG,PHYSICAL_FORCE_OC_SPRAY_USED_FLAG,PHYSICAL_FORCE_OTHER_FLAG,PHYSICAL_FORCE_RESTRAINT_USED_FLAG,PHYSICAL_FORCE_VERBAL_INSTRUCTION_FLAG,PHYSICAL_FORCE_WEAPON_IMPACT_FLAG,BACKROUND_CIRCUMSTANCES_VIOLENT_CRIME_FLAG,BACKROUND_CIRCUMSTANCES_SUSPECT_KNOWN_TO_CARRY_WEAPON_FLAG,SUSPECTS_ACTIONS_CASING_FLAG,SUSPECTS_ACTIONS_CONCEALED_POSSESSION_WEAPON_FLAG,SUSPECTS_ACTIONS_DECRIPTION_FLAG,SUSPECTS_ACTIONS_DRUG_TRANSACTIONS_FLAG,SUSPECTS_ACTIONS_IDENTIFY_CRIME_PATTERN_FLAG,SUSPECTS_ACTIONS_LOOKOUT_FLAG,SUSPECTS_ACTIONS_OTHER_FLAG,SUSPECTS_ACTIONS_PROXIMITY_TO_SCENE_FLAG,SEARCH_BASIS_ADMISSION_FLAG,SEARCH_BASIS_CONSENT_FLAG,SEARCH_BASIS_HARD_OBJECT_FLAG,SEARCH_BASIS_INCIDENTAL_TO_ARREST_FLAG,SEARCH_BASIS_OTHER_FLAG,SEARCH_BASIS_OUTLINE_FLAG,DEMEANOR_CODE,DEMEANOR_OF_PERSON_STOPPED,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,SUSPECT_EYE_COLOR,SUSPECT_HAIR_COLOR,SUSPECT_OTHER_DESCRIPTION,STOP_LOCATION_PRECINCT,STOP_LOCATION_SECTOR_CODE,STOP_LOCATION_APARTMENT,STOP_LOCATION_FULL_ADDRESS,STOP_LOCATION_STREET_NAME,STOP_LOCATION_X,STOP_LOCATION_Y,STOP_LOCATION_ZIP_CODE,STOP_LOCATION_PATROL_BORO_NAME,STOP_LOCATION_BORO_NAME
11,2/16/19,12:17:00,2019,February,Saturday,Based on Self Initiated,APP,POM,1,LT,1,O,(null),(null),1,PETIT LARCENY,5,Y,(null),N,Y,PETIT LARCENY,N,(null),Y,(null),(null),(null),N,Y,N,(,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(,(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),DE,CALM,51,MALE,WHITE HISPANIC,5.7,160,MED,BRO,GRY,NECK TATTOO,1,A,(null),100 BROADWAY,BROADWAY,981097,197271,(null),PBMS,MANHATTAN
12,2/20/19,14:45:00,2019,February,Wednesday,Based on Radio Run,APP,POM,1,LT,1,O,P,PSB,1,GRAND LARCENY,10,Y,(null),Y,N,(null),N,(null),Y,(null),(null),(null),N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),DE,UNDERSTANDABE,24,MALE,WHITE HISPANIC,5.9,160,MED,BRO,BLK,UNKNOWN,1,D,(null),521 BROADWAY,BROADWAY,984502,202578,(null),PBMS,MANHATTAN
13,2/20/19,14:45:00,2019,February,Wednesday,Based on Radio Run,APP,POM,1,LT,1,O,P,PSB,1,GRAND LARCENY,10,Y,(null),Y,N,(null),N,(null),Y,(null),(null),(null),N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),DE,UNDERSTANDABLE,21,MALE,BLACK,5.8,150,THN,BRO,BLK,WEARING GREEN JACKET,1,D,(null),521 BROADWAY,BROADWAY,984502,202578,(null),PBMS,MANHATTAN
14,2/23/19,18:41:00,2019,February,Saturday,Based on Radio Run,APP,POM,1,SGT,1,O,(null),(null),1,GRAND LARCENY,59,Y,(null),Y,N,(null),N,(null),Y,(null),(null),(null),N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),Y,(null),(,(null),(null),(null),(null),(null),Y,(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),DE,CALM,53,MALE,BLACK,6.6,200,THN,BRO,BLD,(null),1,D,(null),146 GREENE STREET,GREENE STREET,984615,203695,(null),PBMS,MANHATTAN
15,2/23/19,18:41:00,2019,February,Saturday,Based on Radio Run,APP,POM,1,SGT,1,O,(null),(null),1,GRAND LARCENY,59,Y,(null),Y,N,(null),N,(null),Y,(null),(null),(null),N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),Y,(null),(,(null),(null),(null),(null),(null),Y,(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),DE,CALM,49,FEMALE,WHITE,5.1,140,THN,BRO,BRO,(null),1,D,(null),146 GREENE STREET,GREENE STREET,984615,203695,(null),PBMS,MANHATTAN
16,3/1/19,15:23:00,2019,March,Friday,Based on Self Initiated,APP,POM,1,SGT,1,O,(null),(null),5,GRAND LARCENY,15,Y,(null),Y,N,(null),N,(null),N,(null),S,V,N,N,N,(,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),DE,CALM,31,MALE,BLACK,5.7,150,MED,BRO,BLK,N/A,1,D,(null),66 MERCER STREET,MERCER STREET,984134,202485,(null),PBMS,MANHATTAN
17,3/1/19,15:23:00,2019,March,Friday,Based on Self Initiated,APP,POM,1,SGT,1,(null),(null),(null),5,GRAND LARCENY,15,Y,(null),Y,N,(null),N,(null),N,(null),S,V,N,N,N,(,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),DE,CALM,27,MALE,BLACK,6,165,THN,BRO,BLK,N/A,1,D,(null),66 MERCER STREET,MERCER STREET,984134,202485,(null),PBMS,MANHATTAN
18,3/7/19,14:30:00,2019,March,Thursday,Based on Self Initiated,APP,POM,1,SGT,1,I,P,PSB,1,PETIT LARCENY,15,N,PERP A,N,Y,PETIT LARCENY,N,(null),N,(null),S,V,N,Y,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),DE,AGITATED,24,MALE,BLACK,5.11,165,THN,BRO,BLK,(null),1,D,(null),147 MERCER STREET,MERCER STREET,984713,203398,(null),PBMS,MANHATTAN
19,3/10/19,22:45:00,2019,March,Sunday,Based on Radio Run,APP,POM,1,SGT,1,O,P,PSB,1,ROBBERY,15,Y,(null),N,N,(null),N,(null),Y,(null),(null),(null),N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),DE,UPSET,29,MALE,BLACK,5.7,140,THN,BRO,BLK,UNK,1,C,(null),MURRAY STREET && WEST BROADWAY,MURRAY STREET,981442,199546,(null),PBMS,MANHATTAN
20,3/10/19,23:15:00,2019,March,Sunday,Based on Radio Run,APP,POM,1,SGT,1,I,P,PSB,4,PETIT LARCENY,30,Y,(null),N,Y,PETIT LARCENY,N,(null),Y,(null),(null),(null),Y,Y,N,Y,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(,(null),Y,(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),DE,AGITTATED,20,MALE,BLACK,6.1,160,THN,BRO,BLK,"BLACK JACKET, RED SWEATER, RED BOOKBAG, SKATEBOARD WITH RED WHEELS, BLACK SNEAKE",1,B,(null),4 SOUTH STREET,SOUTH STREET,980875,194871,(null),PBMS,MANHATTAN
